family,seed,method,mae,dwell_mae,weighted_energy_error,transition_mae,stable_mae
Corrected linear,-,linear,75.39441704611784,75.39441704611784,0.002039942385235,,
Best online tree,-,dense_row_hist_gradient_boosting,78.19738926083397,78.19738926083397,0.0154750674494415,,
DwellMLP,42,dwell_mlp_dwell_supervised_residual_dwell_wc8_branchwise,43.56937107114166,43.56937107114166,0.0200084749436434,70.04548246670852,23.408662393783416
DwellMLP,123,dwell_mlp_dwell_supervised_residual_dwell_wc8_branchwise,46.851001366596655,46.85100136659666,0.0198157347707913,78.8196690601139,22.50788743483584
DwellMLP,2026,dwell_mlp_dwell_supervised_residual_dwell_wc8_branchwise,41.072978798898106,41.072978798898106,0.0256278661127327,71.4997742481688,17.903951071471795
DwellObserver-T,42,observer_mlp_prior_only_observer_supervised_residual_dwell_wc8_branchwise_ema_tau0.005_tl0.001_tmunobserved_only_tsresidual_delta_twarm10_tramp20_eval_student_teacher_average,40.7839719446785,40.7839719446785,0.0271070861033253,78.42150334798583,15.89431569184003
DwellObserver-T,123,observer_mlp_prior_only_observer_supervised_residual_dwell_wc8_branchwise_ema_tau0.005_tl0.001_tmunobserved_only_tsresidual_delta_twarm10_tramp20_eval_student_teacher_average,41.86144306754814,41.86144306754812,0.0223844026367873,73.0800288781071,21.182107277126487
DwellObserver-T,2026,observer_mlp_prior_only_observer_supervised_residual_dwell_wc8_branchwise_ema_tau0.005_tl0.001_tmunobserved_only_tsresidual_delta_twarm10_tramp20_eval_student_teacher_average,39.28618085781384,39.28618085781385,0.0240866334610649,70.88593187790673,17.395262980703183
