family,branch_name,superseded_mae,corrected_mae,delta_corrected_minus_superseded
DwellMLP,Branch01_Ceiling_Fan,3.116921034918891,3.9627735816136647,0.8458525466947737
DwellMLP,Branch02_Tubelight,3.2868465656704373,4.898121290902047,1.6112747252316098
DwellMLP,Branch03_Electric_Kettle,92.12186618381077,107.5074374033206,15.385571219509828
DwellMLP,Branch04_Electric_Geyser,78.32488110351562,99.46842151358244,21.14354041006682
DwellMLP,Branch05_Water_Pump,62.25627728949652,69.58927227859844,7.33299498910192
DwellMLP,Branch06_Refrigerator,10.727344620598688,14.58109904647509,3.853754425876403
DwellMLP,Branch07_Rice_Cooker,5.527584714253744,9.80592187826372,4.278337164009975
DwellMLP,Branch08_Microwave_Oven,29.804076344807942,40.83588963827446,11.031813293466517
DwellObserver-T,Branch01_Ceiling_Fan,2.8472407527499732,3.661427272168407,0.8141865194184339
DwellObserver-T,Branch02_Tubelight,2.820431112501357,4.288510985867725,1.468079873366368
DwellObserver-T,Branch03_Electric_Kettle,83.84059856499566,96.34242865997396,12.501830094978303
DwellObserver-T,Branch04_Electric_Geyser,71.2556558295356,97.1606005370242,25.904944707488596
DwellObserver-T,Branch05_Water_Pump,59.22883599853515,67.39202090435063,8.163184905815477
DwellObserver-T,Branch06_Refrigerator,11.302385050455728,14.137346605055637,2.834961554599909
DwellObserver-T,Branch07_Rice_Cooker,9.769218357086181,10.420956620061297,0.6517382629751154
DwellObserver-T,Branch08_Microwave_Oven,26.929693101671006,38.5858729723991,11.656179870728096
