family,dwell_mae_mean,dwell_mae_std,weighted_energy_error_mean,weighted_energy_error_std,transition_mae_mean,transition_mae_std,stable_mae_mean,stable_mae_std
DwellMLP,43.83111707887881,2.8978905133964625,0.0218173586090558,0.0033014031517282516,73.4549752583304,4.702520158019141,21.27350030003035,2.9526675031954435
DwellObserver-T,40.64386529001349,1.2933353270642651,0.024526040733725833,0.0023918076521176035,74.12915470133322,3.875784835344637,18.1572286498899,2.7250006831413707
